0.000000 0.000000  1.000000 0.500000
4.070000 -32.294533  -9.897381 -267.830297
4.080000 -32.393507  -9.897523 -268.799826
4.090000 -32.492482  -9.897662 -269.769397
4.100000 -32.591459  -9.897798 -270.739008
4.110000 -32.690437  -9.897931 -271.708660
4.120000 -32.789416  -9.898062 -272.678351
4.130000 -32.888397  -9.898191 -273.648080
4.140000 -32.987379  -9.898317 -274.617847
4.150000 -33.086362  -9.898440 -275.587651
4.160000 -33.185346  -9.898561 -276.557492
4.170000 -33.284332  -9.898679 -277.527368
4.180000 -33.383318  -9.898795 -278.497278
4.190000 -33.482306  -9.898909 -279.467223
4.200000 -33.581296  -9.899021 -280.437202
4.210000 -33.680286  -9.899130 -281.407213
4.220000 -33.779277  -9.899238 -282.377256
4.230000 -33.878269  -9.899343 -283.347331
4.240000 -33.977263  -9.899446 -284.317437
4.250000 -34.076257  -9.899547 -285.287573
4.260000 -34.175253  -9.899646 -286.257738
4.270000 -34.274249  -9.899743 -287.227933
4.280000 -34.373247  -9.899838 -288.198156
4.290000 -34.472245  -9.899931 -289.168408
4.300000 -34.571244  -9.900022 -290.138686
4.310000 -34.670245  -9.900112 -291.108992
4.320000 -34.769246  -9.900200 -292.079324
4.330000 -34.868248  -9.900286 -293.049682
4.340000 -34.967251  -9.900370 -294.020065
4.350000 -35.066254  -9.900453 -294.990472
4.360000 -35.165259  -9.900534 -295.960904
4.370000 -35.264264  -9.900613 -296.931360
4.380000 -35.363270  -9.900691 -297.901840
4.390000 -35.462277  -9.900767 -298.872342
4.400000 -35.561285  -9.900842 -299.842866
4.410000 -35.660293  -9.900915 -300.813413
4.420000 -35.759302  -9.900987 -301.783981
4.430000 -35.858312  -9.901058 -302.754571
4.440000 -35.957323  -9.901127 -303.725181
4.450000 -36.056334  -9.901195 -304.695811
4.460000 -36.155346  -9.901261 -305.666461
4.470000 -36.254359  -9.901326 -306.637131
4.480000 -36.353372  -9.901390 -307.607820
4.490000 -36.452386  -9.901452 -308.578528
4.500000 -36.551400  -9.901513 -309.549254
4.510000 -36.650415  -9.901573 -310.519998
4.520000 -36.749431  -9.901632 -311.490759
4.530000 -36.848448  -9.901690 -312.461538
4.540000 -36.947464  -9.901746 -313.432334
4.550000 -37.046482  -9.901802 -314.403147
4.560000 -37.145500  -9.901856 -315.373976
4.570000 -37.244518  -9.901909 -316.344821
4.580000 -37.343538  -9.901962 -317.315681
4.590000 -37.442557  -9.902013 -318.286557
4.600000 -37.541577  -9.902063 -319.257448
4.610000 -37.640598  -9.902112 -320.228354
4.620000 -37.739619  -9.902160 -321.199274
4.630000 -37.838641  -9.902207 -322.170208
4.640000 -37.937663  -9.902254 -323.141157
4.650000 -38.036685  -9.902299 -324.112118
4.660000 -38.135708  -9.902344 -325.083094
4.670000 -38.234732  -9.902387 -326.054082
4.680000 -38.333756  -9.902430 -327.025083
4.690000 -38.432780  -9.902472 -327.996097
4.700000 -38.531805  -9.902513 -328.967123
4.710000 -38.630830  -9.902553 -329.938161
4.720000 -38.729855  -9.902593 -330.909210
4.730000 -38.828881  -9.902631 -331.880272
4.740000 -38.927907  -9.902669 -332.851345
4.750000 -39.026934  -9.902706 -333.822429
4.760000 -39.125961  -9.902743 -334.793524
4.770000 -39.224989  -9.902778 -335.764629
4.780000 -39.324016  -9.902813 -336.735746
4.790000 -39.423045  -9.902848 -337.706872
4.800000 -39.522073  -9.902881 -338.678008
4.810000 -39.621102  -9.902914 -339.649155
4.820000 -39.720131  -9.902946 -340.620311
4.830000 -39.819160  -9.902978 -341.591477
4.840000 -39.918190  -9.903009 -342.562652
4.850000 -40.017220  -9.903040 -343.533836
4.860000 -40.116251  -9.903069 -344.505029
4.870000 -40.215281  -9.903099 -345.476230
4.880000 -40.314312  -9.903127 -346.447441
4.890000 -40.413344  -9.903155 -347.418659
4.900000 -40.512375  -9.903183 -348.389887
4.910000 -40.611407  -9.903210 -349.361122
4.920000 -40.710439  -9.903236 -350.332365
4.930000 -40.809472  -9.903262 -351.303616
4.940000 -40.908504  -9.903288 -352.274874
4.950000 -41.007537  -9.903312 -353.246140
4.960000 -41.106570  -9.903337 -354.217413
4.970000 -41.205604  -9.903361 -355.188694
4.980000 -41.304637  -9.903384 -356.159981
4.990000 -41.403671  -9.903407 -357.131276
5.000000 -41.502705  -9.903430 -358.102577
